word,lemma,affix
meni,men,ni
seni,sen,ni
mening,men,ning
sening,sen,ning
ayril,ayir,il
bag'ri,bag'ir,i
zahri,zahar,i
shahri,shahar,i
qashla,qashi,la
ikkovlon,ikki,ovlon
oltovlon,olti,ovlon
yettovlon,yetti,ovlon
burni,burun,i
metallar,metall,lar
kilogrammi,kilogramm,mi
kongressiz,kongress,siz
singli,singil,i
o‘g‘li,o‘g‘il,i
bitta,bir,ta
deyi,de,i
deya,de,a
sarg‘ish,sariq,ish
qizg‘ish,qizil,ish
avzoyi,avzo,i
mavzuyi,mavzu,i
obro‘yi,obro‘,i
unday,u,day
bunday,bu,day
shunday,shu,day