	ligand	receptor	annotation	pathway
GLS_SLC1A3|GRIK2_GRIK4	GLS_SLC1A3	GRIK2_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK3	GLS_SLC1A3	GRIK3	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK3_GRIK4	GLS_SLC1A3	GRIK3_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK3_GRIK5	GLS_SLC1A3	GRIK3_GRIK5	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK5_GRIK1	GLS_SLC1A3	GRIK5_GRIK1	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIK5_GRIK2	GLS_SLC1A3	GRIK5_GRIK2	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIN1_GRIN2A	GLS_SLC1A3	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIN1_GRIN2B	GLS_SLC1A3	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIN1_GRIN2D	GLS_SLC1A3	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRIN2C_GRIN1	GLS_SLC1A3	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM1	GLS_SLC1A3	GRM1	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM2	GLS_SLC1A3	GRM2	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM3	GLS_SLC1A3	GRM3	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM4	GLS_SLC1A3	GRM4	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM5	GLS_SLC1A3	GRM5	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM6	GLS_SLC1A3	GRM6	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM7	GLS_SLC1A3	GRM7	Non-protein Signaling	Glutamate
GLS_SLC1A3|GRM8	GLS_SLC1A3	GRM8	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIA1	GLS_SLC1A7	GRIA1	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIA2	GLS_SLC1A7	GRIA2	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIA3	GLS_SLC1A7	GRIA3	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIA4	GLS_SLC1A7	GRIA4	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK1	GLS_SLC1A7	GRIK1	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK1_GRIK4	GLS_SLC1A7	GRIK1_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK2	GLS_SLC1A7	GRIK2	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK2_GRIK4	GLS_SLC1A7	GRIK2_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK3	GLS_SLC1A7	GRIK3	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK3_GRIK4	GLS_SLC1A7	GRIK3_GRIK4	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK3_GRIK5	GLS_SLC1A7	GRIK3_GRIK5	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK5_GRIK1	GLS_SLC1A7	GRIK5_GRIK1	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIK5_GRIK2	GLS_SLC1A7	GRIK5_GRIK2	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIN1_GRIN2A	GLS_SLC1A7	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIN1_GRIN2B	GLS_SLC1A7	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIN1_GRIN2D	GLS_SLC1A7	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRIN2C_GRIN1	GLS_SLC1A7	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM1	GLS_SLC1A7	GRM1	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM2	GLS_SLC1A7	GRM2	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM3	GLS_SLC1A7	GRM3	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM4	GLS_SLC1A7	GRM4	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM5	GLS_SLC1A7	GRM5	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM6	GLS_SLC1A7	GRM6	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM7	GLS_SLC1A7	GRM7	Non-protein Signaling	Glutamate
GLS_SLC1A7|GRM8	GLS_SLC1A7	GRM8	Non-protein Signaling	Glutamate
HBEGF|ERBB2_EGFR	HBEGF	ERBB2_EGFR	Secreted	EGF
HBEGF|ERBB2_ERBB4	HBEGF	ERBB2_ERBB4	Secreted	EGF
HBEGF|ERBB4	HBEGF	ERBB4	Secreted	EGF
HCRT|HCRTR1	HCRT	HCRTR1	Secreted	HCRT
HCRT|HCRTR2	HCRT	HCRTR2	Secreted	HCRT
HDC|HRH1	HDC	HRH1	Non-protein Signaling	Histamine
HDC|HRH2	HDC	HRH2	Non-protein Signaling	Histamine
HDC|HRH3	HDC	HRH3	Non-protein Signaling	Histamine
HSD17B1|GPER1	HSD17B1	GPER1	Non-protein Signaling	Estradiol
HSPG2|DAG1	HSPG2	DAG1	ECM-Receptor	HSPG
IBSP|ITGAV_ITGB3	IBSP	ITGAV_ITGB3	ECM-Receptor	BSP
IGF1|ITGAV_ITGB3	IGF1	ITGAV_ITGB3	Secreted	IGF
IGF2|ITGAV_ITGB3	IGF2	ITGAV_ITGB3	Secreted	IGF
ITGAV_ITGB3|ADGRA2	ITGAV_ITGB3	ADGRA2	Cell-Cell Contact	ADGRA
ITGAV_ITGB3|ADGRE2	ITGAV_ITGB3	ADGRE2	Cell-Cell Contact	ADGRE
ITGAV_ITGB3|ADGRE5	ITGAV_ITGB3	ADGRE5	Cell-Cell Contact	ADGRE
L1CAM|ITGAV_ITGB3	L1CAM	ITGAV_ITGB3	Cell-Cell Contact	L1CAM
LAMA1|DAG1	LAMA1	DAG1	ECM-Receptor	LAMININ
LAMA1|SV2A	LAMA1	SV2A	ECM-Receptor	LAMININ
LAMA1|SV2B	LAMA1	SV2B	ECM-Receptor	LAMININ
LAMA1|SV2C	LAMA1	SV2C	ECM-Receptor	LAMININ
LAMA2|DAG1	LAMA2	DAG1	ECM-Receptor	LAMININ
LAMA2|SV2A	LAMA2	SV2A	ECM-Receptor	LAMININ
LAMA2|SV2B	LAMA2	SV2B	ECM-Receptor	LAMININ
LAMA2|SV2C	LAMA2	SV2C	ECM-Receptor	LAMININ
LAMA3|DAG1	LAMA3	DAG1	ECM-Receptor	LAMININ
LAMA3|SV2A	LAMA3	SV2A	ECM-Receptor	LAMININ
LAMA3|SV2B	LAMA3	SV2B	ECM-Receptor	LAMININ
LAMA3|SV2C	LAMA3	SV2C	ECM-Receptor	LAMININ
LAMA4|DAG1	LAMA4	DAG1	ECM-Receptor	LAMININ
LAMA4|SV2A	LAMA4	SV2A	ECM-Receptor	LAMININ
LAMA4|SV2B	LAMA4	SV2B	ECM-Receptor	LAMININ
LAMA4|SV2C	LAMA4	SV2C	ECM-Receptor	LAMININ
LAMA5|DAG1	LAMA5	DAG1	ECM-Receptor	LAMININ
LAMA5|SV2A	LAMA5	SV2A	ECM-Receptor	LAMININ
LAMA5|SV2B	LAMA5	SV2B	ECM-Receptor	LAMININ
LAMA5|SV2C	LAMA5	SV2C	ECM-Receptor	LAMININ
LAMB1|DAG1	LAMB1	DAG1	ECM-Receptor	LAMININ
LAMB1|SV2A	LAMB1	SV2A	ECM-Receptor	LAMININ
LAMB1|SV2B	LAMB1	SV2B	ECM-Receptor	LAMININ
LAMB1|SV2C	LAMB1	SV2C	ECM-Receptor	LAMININ
LAMB2|DAG1	LAMB2	DAG1	ECM-Receptor	LAMININ
LAMB2|SV2A	LAMB2	SV2A	ECM-Receptor	LAMININ
LAMB2|SV2B	LAMB2	SV2B	ECM-Receptor	LAMININ
LAMB2|SV2C	LAMB2	SV2C	ECM-Receptor	LAMININ
LAMB3|DAG1	LAMB3	DAG1	ECM-Receptor	LAMININ
LAMB3|SV2A	LAMB3	SV2A	ECM-Receptor	LAMININ
LAMB3|SV2B	LAMB3	SV2B	ECM-Receptor	LAMININ
LAMB3|SV2C	LAMB3	SV2C	ECM-Receptor	LAMININ
LAMC1|DAG1	LAMC1	DAG1	ECM-Receptor	LAMININ
LAMC1|SV2A	LAMC1	SV2A	ECM-Receptor	LAMININ
LAMC1|SV2B	LAMC1	SV2B	ECM-Receptor	LAMININ
LAMC1|SV2C	LAMC1	SV2C	ECM-Receptor	LAMININ
LAMC2|DAG1	LAMC2	DAG1	ECM-Receptor	LAMININ
LAMC2|SV2A	LAMC2	SV2A	ECM-Receptor	LAMININ
LAMC2|SV2B	LAMC2	SV2B	ECM-Receptor	LAMININ
LAMC2|SV2C	LAMC2	SV2C	ECM-Receptor	LAMININ
LAMC3|DAG1	LAMC3	DAG1	ECM-Receptor	LAMININ
LAMC3|SV2A	LAMC3	SV2A	ECM-Receptor	LAMININ
LAMC3|SV2B	LAMC3	SV2B	ECM-Receptor	LAMININ
LAMC3|SV2C	LAMC3	SV2C	ECM-Receptor	LAMININ
LPAR1|ADGRE5	LPAR1	ADGRE5	Cell-Cell Contact	ADGRE
MMP2|ITGAV_ITGB3_MMP14	MMP2	ITGAV_ITGB3_MMP14	Cell-Cell Contact	MMP
NRG1|ERBB2_ERBB4	NRG1	ERBB2_ERBB4	Secreted	NRG
NRG1|ERBB3	NRG1	ERBB3	Secreted	NRG
NRG1|ERBB3_ERBB2	NRG1	ERBB3_ERBB2	Secreted	NRG
NRG1|ERBB4	NRG1	ERBB4	Secreted	NRG
NRG1|ITGA6_ITGB4	NRG1	ITGA6_ITGB4	Secreted	NRG
NRG1|ITGAV_ITGB3	NRG1	ITGAV_ITGB3	Secreted	NRG
NRG2|ERBB2_ERBB4	NRG2	ERBB2_ERBB4	Secreted	NRG
NRG2|ERBB3_ERBB2	NRG2	ERBB3_ERBB2	Secreted	NRG
NRG2|ERBB4	NRG2	ERBB4	Secreted	NRG
NRG3|ERBB2_ERBB4	NRG3	ERBB2_ERBB4	Secreted	NRG
NRG3|ERBB4	NRG3	ERBB4	Secreted	NRG
NRG4|ERBB2_ERBB4	NRG4	ERBB2_ERBB4	Secreted	NRG
NRG4|ERBB4	NRG4	ERBB4	Secreted	NRG
NRXN1|ADGRL1	NRXN1	ADGRL1	Cell-Cell Contact	ADGRL
NRXN1|CLSTN1	NRXN1	CLSTN1	Cell-Cell Contact	NRXN
NRXN1|CLSTN2	NRXN1	CLSTN2	Cell-Cell Contact	NRXN
NRXN1|CLSTN3	NRXN1	CLSTN3	Cell-Cell Contact	NRXN
NRXN1|DAG1	NRXN1	DAG1	Cell-Cell Contact	NRXN
NRXN1|LRRTM1	NRXN1	LRRTM1	Cell-Cell Contact	NRXN
NRXN1|LRRTM2	NRXN1	LRRTM2	Cell-Cell Contact	NRXN
NRXN1|LRRTM3	NRXN1	LRRTM3	Cell-Cell Contact	NRXN
NRXN1|LRRTM4	NRXN1	LRRTM4	Cell-Cell Contact	NRXN
NRXN1|NLGN1	NRXN1	NLGN1	Cell-Cell Contact	NRXN
NRXN1|NLGN2	NRXN1	NLGN2	Cell-Cell Contact	NRXN
NRXN1|NLGN3	NRXN1	NLGN3	Cell-Cell Contact	NRXN
NRXN1_CBLN1|GRID2	NRXN1_CBLN1	GRID2	Non-protein Signaling	Glutamate
NRXN2|ADGRL1	NRXN2	ADGRL1	Cell-Cell Contact	ADGRL
NRXN2|CLSTN1	NRXN2	CLSTN1	Cell-Cell Contact	NRXN
NRXN2|CLSTN2	NRXN2	CLSTN2	Cell-Cell Contact	NRXN
NRXN2|CLSTN3	NRXN2	CLSTN3	Cell-Cell Contact	NRXN
NRXN2|DAG1	NRXN2	DAG1	Cell-Cell Contact	NRXN
NRXN2|LRRTM1	NRXN2	LRRTM1	Cell-Cell Contact	NRXN
NRXN2|LRRTM2	NRXN2	LRRTM2	Cell-Cell Contact	NRXN
NRXN2|LRRTM3	NRXN2	LRRTM3	Cell-Cell Contact	NRXN
NRXN2|LRRTM4	NRXN2	LRRTM4	Cell-Cell Contact	NRXN
NRXN2|NLGN1	NRXN2	NLGN1	Cell-Cell Contact	NRXN
NRXN2|NLGN2	NRXN2	NLGN2	Cell-Cell Contact	NRXN
NRXN2|NLGN3	NRXN2	NLGN3	Cell-Cell Contact	NRXN
NRXN3|ADGRL1	NRXN3	ADGRL1	Cell-Cell Contact	ADGRL
NRXN3|CLSTN1	NRXN3	CLSTN1	Cell-Cell Contact	NRXN
NRXN3|CLSTN2	NRXN3	CLSTN2	Cell-Cell Contact	NRXN
NRXN3|CLSTN3	NRXN3	CLSTN3	Cell-Cell Contact	NRXN
NRXN3|LRRTM1	NRXN3	LRRTM1	Cell-Cell Contact	NRXN
NRXN3|LRRTM2	NRXN3	LRRTM2	Cell-Cell Contact	NRXN
NRXN3|LRRTM3	NRXN3	LRRTM3	Cell-Cell Contact	NRXN
NRXN3|LRRTM4	NRXN3	LRRTM4	Cell-Cell Contact	NRXN
NRXN3|NLGN1	NRXN3	NLGN1	Cell-Cell Contact	NRXN
NRXN3|NLGN2	NRXN3	NLGN2	Cell-Cell Contact	NRXN
NRXN3|NLGN3	NRXN3	NLGN3	Cell-Cell Contact	NRXN
NT5E_SLC29A1|ADORA1	NT5E_SLC29A1	ADORA1	Non-protein Signaling	Adenosine
NT5E_SLC29A1|ADORA2A	NT5E_SLC29A1	ADORA2A	Non-protein Signaling	Adenosine
NT5E_SLC29A1|ADORA2B	NT5E_SLC29A1	ADORA2B	Non-protein Signaling	Adenosine
NT5E_SLC29A1|ADORA3	NT5E_SLC29A1	ADORA3	Non-protein Signaling	Adenosine
NT5E_SLC29A2|ADORA1	NT5E_SLC29A2	ADORA1	Non-protein Signaling	Adenosine
NT5E_SLC29A2|ADORA2A	NT5E_SLC29A2	ADORA2A	Non-protein Signaling	Adenosine
NT5E_SLC29A2|ADORA2B	NT5E_SLC29A2	ADORA2B	Non-protein Signaling	Adenosine
NT5E_SLC29A2|ADORA3	NT5E_SLC29A2	ADORA3	Non-protein Signaling	Adenosine
NT5E_SLC29A3|ADORA1	NT5E_SLC29A3	ADORA1	Non-protein Signaling	Adenosine
NT5E_SLC29A3|ADORA2A	NT5E_SLC29A3	ADORA2A	Non-protein Signaling	Adenosine
NT5E_SLC29A3|ADORA2B	NT5E_SLC29A3	ADORA2B	Non-protein Signaling	Adenosine
NT5E_SLC29A3|ADORA3	NT5E_SLC29A3	ADORA3	Non-protein Signaling	Adenosine
PDYN|OPRD1	PDYN	OPRD1	Secreted	OPIOID
PDYN|OPRK1	PDYN	OPRK1	Secreted	OPIOID
PDYN|OPRL1	PDYN	OPRL1	Secreted	OPIOID
PDYN|OPRM1	PDYN	OPRM1	Secreted	OPIOID
PENK|OPRD1	PENK	OPRD1	Secreted	OPIOID
PENK|OPRK1	PENK	OPRK1	Secreted	OPIOID
PMCH|MCHR1	PMCH	MCHR1	Secreted	PMCH
PMCH|MERTK	PMCH	MERTK	Secreted	PMCH
PNOC|OPRL1	PNOC	OPRL1	Non-protein Signaling	OPIOID
POMC|OPRD1	POMC	OPRD1	Non-protein Signaling	OPIOID
POMC|OPRK1	POMC	OPRK1	Non-protein Signaling	OPIOID
POSTN|ITGAV_ITGB3	POSTN	ITGAV_ITGB3	Secreted	PERIOSTIN
PROC|PROCR_HSP90AA1	PROC	PROCR_HSP90AA1	Secreted	PROCR
PTH|PTH2R	PTH	PTH2R	Secreted	PTH
PTH2|PTH2R	PTH2	PTH2R	Secreted	PTH
PTN|ITGAV_ITGB3	PTN	ITGAV_ITGB3	Secreted	PTN
SHMT1_SLC6A9|GLRA1_GLRB	SHMT1_SLC6A9	GLRA1_GLRB	Non-protein Signaling	Glycine
SHMT1_SLC6A9|GLRA2	SHMT1_SLC6A9	GLRA2	Non-protein Signaling	Glycine
SHMT2_SLC6A9|GLRA1_GLRB	SHMT2_SLC6A9	GLRA1_GLRB	Non-protein Signaling	Glycine
SHMT2_SLC6A9|GLRA2	SHMT2_SLC6A9	GLRA2	Non-protein Signaling	Glycine
SLC10A4_CHAT|CHRM1	SLC10A4_CHAT	CHRM1	Non-protein Signaling	Ach
SLC10A4_CHAT|CHRM2	SLC10A4_CHAT	CHRM2	Non-protein Signaling	Ach
SLC10A4_CHAT|CHRM3	SLC10A4_CHAT	CHRM3	Non-protein Signaling	Ach
SLC10A4_CHAT|CHRM4	SLC10A4_CHAT	CHRM4	Non-protein Signaling	Ach
SLC10A4_CHAT|CHRM5	SLC10A4_CHAT	CHRM5	Non-protein Signaling	Ach
SLC10A4_CHAT|CHRNA1_CHRNB1_CHRND_CHRNE	SLC10A4_CHAT	CHRNA1_CHRNB1_CHRND_CHRNE	Non-protein Signaling	Ach
SLC10A4_CHAT|CHRNA1_CHRNB1_CHRND_CHRNG	SLC10A4_CHAT	CHRNA1_CHRNB1_CHRND_CHRNG	Non-protein Signaling	Ach
SLC10A4_CHAT|CHRNA3_CHRNB4	SLC10A4_CHAT	CHRNA3_CHRNB4	Non-protein Signaling	Ach
SLC10A4_CHAT|CHRNA4_CHRNB2	SLC10A4_CHAT	CHRNA4_CHRNB2	Non-protein Signaling	Ach
SLC10A4_CHAT|CHRNA7	SLC10A4_CHAT	CHRNA7	Non-protein Signaling	Ach
SLC17A6_GLS|GRIA1	SLC17A6_GLS	GRIA1	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIA2	SLC17A6_GLS	GRIA2	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIA3	SLC17A6_GLS	GRIA3	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIA4	SLC17A6_GLS	GRIA4	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIK1	SLC17A6_GLS	GRIK1	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIK1_GRIK4	SLC17A6_GLS	GRIK1_GRIK4	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIK2	SLC17A6_GLS	GRIK2	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIK2_GRIK4	SLC17A6_GLS	GRIK2_GRIK4	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIK3	SLC17A6_GLS	GRIK3	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIK3_GRIK4	SLC17A6_GLS	GRIK3_GRIK4	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIK3_GRIK5	SLC17A6_GLS	GRIK3_GRIK5	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIK5_GRIK1	SLC17A6_GLS	GRIK5_GRIK1	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIK5_GRIK2	SLC17A6_GLS	GRIK5_GRIK2	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIN1_GRIN2A	SLC17A6_GLS	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIN1_GRIN2B	SLC17A6_GLS	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIN1_GRIN2D	SLC17A6_GLS	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRIN2C_GRIN1	SLC17A6_GLS	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRM1	SLC17A6_GLS	GRM1	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRM2	SLC17A6_GLS	GRM2	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRM3	SLC17A6_GLS	GRM3	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRM4	SLC17A6_GLS	GRM4	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRM5	SLC17A6_GLS	GRM5	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRM6	SLC17A6_GLS	GRM6	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRM7	SLC17A6_GLS	GRM7	Non-protein Signaling	Glutamate
SLC17A6_GLS|GRM8	SLC17A6_GLS	GRM8	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIA1	SLC17A6_GLS2	GRIA1	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIA2	SLC17A6_GLS2	GRIA2	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIA3	SLC17A6_GLS2	GRIA3	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIA4	SLC17A6_GLS2	GRIA4	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIK1	SLC17A6_GLS2	GRIK1	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIK1_GRIK4	SLC17A6_GLS2	GRIK1_GRIK4	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIK2	SLC17A6_GLS2	GRIK2	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIK2_GRIK4	SLC17A6_GLS2	GRIK2_GRIK4	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIK3	SLC17A6_GLS2	GRIK3	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIK3_GRIK4	SLC17A6_GLS2	GRIK3_GRIK4	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIK3_GRIK5	SLC17A6_GLS2	GRIK3_GRIK5	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIK5_GRIK1	SLC17A6_GLS2	GRIK5_GRIK1	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIK5_GRIK2	SLC17A6_GLS2	GRIK5_GRIK2	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIN1_GRIN2A	SLC17A6_GLS2	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIN1_GRIN2B	SLC17A6_GLS2	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIN1_GRIN2D	SLC17A6_GLS2	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRIN2C_GRIN1	SLC17A6_GLS2	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRM1	SLC17A6_GLS2	GRM1	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRM2	SLC17A6_GLS2	GRM2	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRM3	SLC17A6_GLS2	GRM3	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRM4	SLC17A6_GLS2	GRM4	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRM5	SLC17A6_GLS2	GRM5	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRM6	SLC17A6_GLS2	GRM6	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRM7	SLC17A6_GLS2	GRM7	Non-protein Signaling	Glutamate
SLC17A6_GLS2|GRM8	SLC17A6_GLS2	GRM8	Non-protein Signaling	Glutamate
SLC17A7_GLS|GRIA1	SLC17A7_GLS	GRIA1	Non-protein Signaling	Glutamate
SLC17A7_GLS|GRIA2	SLC17A7_GLS	GRIA2	Non-protein Signaling	Glutamate
SLC17A7_GLS|GRIA3	SLC17A7_GLS	GRIA3	Non-protein Signaling	Glutamate
SLC17A7_GLS|GRIA4	SLC17A7_GLS	GRIA4	Non-protein Signaling	Glutamate
SLC17A7_GLS|GRIK1	SLC17A7_GLS	GRIK1	Non-protein Signaling	Glutamate
SLC17A7_GLS|GRIK1_GRIK4	SLC17A7_GLS	GRIK1_GRIK4	Non-protein Signaling	Glutamate
SLC17A7_GLS|GRIK2	SLC17A7_GLS	GRIK2	Non-protein Signaling	Glutamate
SLC17A7_GLS|GRIK2_GRIK4	SLC17A7_GLS	GRIK2_GRIK4	Non-protein Signaling	Glutamate
SLC17A7_GLS|GRIK3	SLC17A7_GLS	GRIK3	Non-protein Signaling	Glutamate
SLC17A7_GLS|GRIK3_GRIK4	SLC17A7_GLS	GRIK3_GRIK4	Non-protein Signaling	Glutamate
SLC17A7_GLS|GRIK3_GRIK5	SLC17A7_GLS	GRIK3_GRIK5	Non-protein Signaling	Glutamate
SLC17A7_GLS|GRIK5_GRIK1	SLC17A7_GLS	GRIK5_GRIK1	Non-protein Signaling	Glutamate
